t(s),Flux through surface 10,Flux through surface 2,Average volume 1,Minimum volume 1,Maximum volume 1,Custom 1
10000.0,-0.00028753879114370946,3.806341270601773e-18,0.6063834637157925,-15.6867895618,26.0,0.0007852237034809484
20000.0,-0.0001756323098414818,1.8255415157031526e-17,0.625679911307093,-15.6867893188,26.0,0.003801125228054076
30000.0,-0.00013446198080933224,4.8914797395679254e-17,0.6422266857676749,-15.6867890313,26.0,0.010266639413277498
40000.0,-0.00011223036226237484,9.75939662690709e-17,0.6592984389228934,-15.6867887374,26.0,0.020622288276511847
50000.0,-9.768988168396063e-05,1.6271550971961663e-16,0.6775471528629206,-15.6867884423,26.0,0.03457544824679804
60000.0,-8.708506704023804e-05,2.4086860608944813e-16,0.6968065747658039,-15.6867881468,26.0,0.05141730246651938
70000.0,-7.880167301544872e-05,3.2818296900704204e-16,0.7166583367593905,-15.6867878516,26.0,0.07031925725657912
80000.0,-7.202433629558707e-05,4.211200971947221e-16,0.7366685489404993,-15.6867875571,26.0,0.09051099716068056
90000.0,-6.629276050359248e-05,5.167850119675445e-16,0.7564769070794679,-15.6867872638,26.0,0.11135491700082117
100000.0,-6.132549782924385e-05,6.129638693678065e-16,0.7758165785195265,-15.6867869718,26.0,0.13235890518507723
